OTU ID	sample1	sample2	sample3	sample4	sample5	taxonomy
OTU_1037	0	0	0	0	1	100%|Mortierella_sp_VN2_2_5|AB734440|SH211065.06FU|reps|k__Fungi;p__Zygomycota;c__Incertae_sedis;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_sp_VN2_2_5
OTU_1039	1	0	0	0	0	100%|Archaeorhizomyces_sp|GU174341|SH453554.06FU|reps_singleton|k__Fungi;p__Ascomycota;c__Archaeorhizomycetes;o__Archaeorhizomycetales;f__Archaeorhizomycetaceae;g__Archaeorhizomyces;s__Archaeorhizomyces_sp
OTU_1041	0	0	16	8	16	100%|Derxomyces_sp_LTD_2009a|AB508840|SH457761.06FU|reps_singleton|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Incertae_sedis;g__Derxomyces;s__Derxomyces_sp_LTD_2009a
OTU_1044	0	2	0	0	0	97.71%|Phialocephala_sp_8|EU434851|SH032693.06FU|reps_singleton|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Vibrisseaceae;g__Phialocephala;s__Phialocephala_sp_8
OTU_1046	50	240	424	49	248	97.92%|uncultured_Basidiomycota|AY969995|SH036109.06FU|reps_singleton|k__Fungi;p__Basidiomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__uncultured_Basidiomycota
OTU_1049	1	0	0	0	0	81.19%|uncultured_fungus|AF504873|SH017855.06FU|reps_singleton|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__uncultured_fungus
OTU_1050	0	0	0	0	0	88.44%|Pezizaceae_sp|AM113728|SH238608.06FU|reps|k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae;g__unidentified;s__Pezizaceae_sp
OTU_1052	0	5	0	0	0	99.48%|Sistotrema_sp|DQ377409|SH021192.06FU|reps_singleton|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Hydnaceae;g__Sistotrema;s__Sistotrema_sp
OTU_1055	77	36	0	1	13	94.64%|Tremellales_sp|AY969971|SH005333.06FU|reps_singleton|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__unidentified;g__unidentified;s__Tremellales_sp
OTU_1057	0	11	1	0	1	91.59%|Orbiliomycetes_sp|AM999543|SH234044.06FU|reps|k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__unidentified;f__unidentified;g__unidentified;s__Orbiliomycetes_sp
OTU_1058	1	0	0	0	0	92.46%|Taphrina_ulmi|AF492123|SH018134.06FU|reps_singleton|k__Fungi;p__Ascomycota;c__Taphrinomycetes;o__Taphrinales;f__Taphrinaceae;g__Taphrina;s__Taphrina_ulmi
OTU_1061	0	0	0	0	2	97.62%|Aspergillus_cibarius|JQ918177|SH236881.06FU|refs|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Aspergillus;s__Aspergillus_cibarius
OTU_1063	0	0	0	0	3	96.14%|Pleosporaceae_sp|DQ233665|SH224807.06FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__unidentified;s__Pleosporaceae_sp
OTU_1065	0	0	0	0	2	97.06%|leotiomycete_sp_7669|EU680538|SH035284.06FU|reps_singleton|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__unidentified;f__unidentified;g__unidentified;s__leotiomycete_sp_7669
OTU_1067	0	0	0	0	2	86.96%|Cryptococcus_sp_FYB_2007a|EF363146|SH234685.06FU|reps|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Incertae_sedis;g__Cryptococcus;s__Cryptococcus_sp_FYB_2007a
OTU_107	0	0	0	0	2	96.22%|uncultured_fungus|GU984802|SH004703.06FU|reps_singleton|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__uncultured_fungus
OTU_1075	0	0	0	0	2	100%|Hydropisphaera_sp|EU479768|SH235787.06FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Bionectriaceae;g__Hydropisphaera;s__Hydropisphaera_sp
OTU_1079	1	0	0	0	0	76.57%|uncultured_fungus|GU187889|SH441192.06FU|reps_singleton|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__uncultured_fungus
OTU_1084	3	6	1	0	1	90.51%|Cryptococcus_sp_FYB_2007a|EF363146|SH234685.06FU|reps|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Incertae_sedis;g__Cryptococcus;s__Cryptococcus_sp_FYB_2007a
OTU_1085	28	29	20	0	10	96.03%|Archaeorhizomyces_sp|AY394903|SH197145.06FU|reps|k__Fungi;p__Ascomycota;c__Archaeorhizomycetes;o__Archaeorhizomycetales;f__Archaeorhizomycetaceae;g__Archaeorhizomyces;s__Archaeorhizomyces_sp
OTU_109	1	0	1	0	0	100%|Leptodontidium_sp_C_BESC_184l|KC007229|SH034136.06FU|reps_singleton|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Incertae_sedis;g__Leptodontidium;s__Leptodontidium_sp_C_BESC_184l
OTU_1090	0	0	2	0	0	70.89%|Fungi_sp|KF435856|SH239674.06FU|reps|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp
OTU_1091	0	0	0	1	0	96.44%|uncultured_fungus|GU187865|SH434850.06FU|reps_singleton|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__uncultured_fungus
OTU_1095	0	0	0	0	1	95.09%|Fungi_sp|DQ421082|SH229688.06FU|reps|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp
OTU_11	2	2	0	0	0	100%|Clavariaceae_sp|DQ421152|SH190239.06FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__unidentified;s__Clavariaceae_sp
OTU_110	1	1	0	1	2	94.07%|Hygrophorus_sp|JF506764|SH194475.06FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae;g__Hygrophorus;s__Hygrophorus_sp
OTU_1110	3	0	0	0	0	88.39%|uncultured_ectomycorrhizal_fungus|JX043208|SH448584.06FU|reps_singleton|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__uncultured_ectomycorrhizal_fungus
OTU_1111	3	0	0	0	0	93.47%|Chaetothyriales_sp|AY970044|SH026531.06FU|reps_singleton|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__unidentified;g__unidentified;s__Chaetothyriales_sp
OTU_1112	1	0	149	0	157	88.52%|Fungi_sp|HQ021976|SH006311.06FU|reps_singleton|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp
OTU_1116	23	56	3	6	9	89.39%|Chaetomiaceae_sp|GQ922575|SH234920.06FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__unidentified;s__Chaetomiaceae_sp
OTU_1120	13	4	72	73	93	73.56%|uncultured_fungus|KC965979|SH431021.06FU|reps_singleton|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__uncultured_fungus
OTU_1133	76	395	0	0	93	96.09%|Chalara_sp|EF619866|SH209350.06FU|reps|k__Fungi;p__Ascomycota;c__Incertae_sedis;o__Incertae_sedis;f__Incertae_sedis;g__Chalara;s__Chalara_sp
OTU_1140	3	2	1	1	3	86.96%|Zalerion_sp_olrim460|AY805598|SH432659.06FU|reps_singleton|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Lulworthiales;f__Lulworthiaceae;g__Zalerion;s__Zalerion_sp_olrim460
OTU_1143	0	0	0	0	2	98.2%|Mortierella_rishikesha|HQ630308|SH214830.06FU|refs|k__Fungi;p__Zygomycota;c__Incertae_sedis;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_rishikesha
OTU_1147	0	107	0	0	5	93.94%|Derxomyces_sp_LTD_2009b|AB508842|SH237938.06FU|reps|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Incertae_sedis;g__Derxomyces;s__Derxomyces_sp_LTD_2009b
OTU_1149	743	1179	21	35	281	75.78%|uncultured_fungus|KC965979|SH431021.06FU|reps_singleton|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__uncultured_fungus
OTU_1150	1	0	0	0	0	94.12%|Derxomyces_sp_LTD_2009a|AB508840|SH457761.06FU|reps_singleton|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Incertae_sedis;g__Derxomyces;s__Derxomyces_sp_LTD_2009a
OTU_1157	10	21	0	1	5	100%|Eurotiales_sp|JX043076|SH213245.06FU|reps|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__unidentified;g__unidentified;s__Eurotiales_sp
OTU_1158	0	0	9	0	7	77.11%|Mortierella_sp_2_C37|JN198473|SH008835.06FU|reps_singleton|k__Fungi;p__Zygomycota;c__Incertae_sedis;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_sp_2_C37
OTU_116	10	0	0	0	1	90.53%|Dothideomycetes_sp|EU520609|SH031295.06FU|reps_singleton|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__unidentified;f__unidentified;g__unidentified;s__Dothideomycetes_sp
OTU_1165	0	1	0	0	0	79.01%|Mortierella_gemmifera|HQ630293|SH202060.06FU|refs|k__Fungi;p__Zygomycota;c__Incertae_sedis;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_gemmifera
OTU_1166	0	2	0	0	0	100%|Saccharomycetales_sp|JX860486|SH197250.06FU|reps|k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__unidentified;g__unidentified;s__Saccharomycetales_sp
OTU_1169	0	0	0	0	3	84.3%|Rhodotorula_lamellibrachiae|AB025999|SH027474.06FU|reps_singleton|k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Incertae_sedis;g__Rhodotorula;s__Rhodotorula_lamellibrachiae
OTU_1172	3	0	0	0	0	83.05%|Agaricomycetes_sp|EF521256|SH452518.06FU|reps_singleton|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__unidentified;f__unidentified;g__unidentified;s__Agaricomycetes_sp
OTU_1175	0	0	0	0	2	80.72%|Entrophospora_sp_JJ38|AY035644|SH431532.06FU|reps_singleton|k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Diversisporales;f__Acaulosporaceae;g__Entrophospora;s__Entrophospora_sp_JJ38
OTU_1177	26	37	66	47	60	100%|Penicillium_bialowiezense|EU587315|SH193630.06FU|refs|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Penicillium;s__Penicillium_bialowiezense
OTU_118	0	0	4	1	0	98.85%|Mortierella_sp|HQ022131|SH228370.06FU|reps|k__Fungi;p__Zygomycota;c__Incertae_sedis;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_sp
OTU_1182	15	0	0	0	3	72.34%|Geastrum_sp_TNS_KH_JPN10_731|JN845190|SH452630.06FU|reps_singleton|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Geastrales;f__Geastraceae;g__Geastrum;s__Geastrum_sp_TNS_KH_JPN10_731
OTU_1185	0	0	0	0	1	94.36%|Coronatomyces_cubensis|AJ458187|SH033883.06FU|reps_singleton|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Sordariaceae;g__Coronatomyces;s__Coronatomyces_cubensis
OTU_1187	1	0	0	0	0	97.48%|Plicaturopsis_crispa|UDB016382|SH026810.06FU|reps_singleton|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Incertae_sedis;g__Plicaturopsis;s__Plicaturopsis_crispa
OTU_119	56	0	4	3	28	100%|Trichocomaceae_sp|EF669945|SH214180.06FU|reps|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__unidentified;s__Trichocomaceae_sp
OTU_1193	1	0	0	0	0	98.1%|Paraglomus_sp|AM942522|SH219410.06FU|reps|k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Paraglomerales;f__Paraglomeraceae;g__Paraglomus;s__Paraglomus_sp
OTU_1194	1603	1103	691	148	749	86.77%|uncultured_fungus|AF504831|SH438567.06FU|reps_singleton|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__uncultured_fungus
OTU_1195	40	2	2	0	29	81.48%|uncultured_fungus|KF296967|SH451475.06FU|reps_singleton|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__uncultured_fungus
OTU_1196	11	0	0	0	0	100%|Eucasphaeria_capensis|GU934520|SH029694.06FU|reps_singleton|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Incertae_sedis;f__Incertae_sedis;g__Eucasphaeria;s__Eucasphaeria_capensis
OTU_1199	5	0	0	0	1	94.94%|Ambispora_leptoticha|AB048638|SH228475.06FU|reps|k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Archaeosporales;f__Ambisporaceae;g__Ambispora;s__Ambispora_leptoticha
OTU_12	1	1	0	0	0	100%|Geomyces_asperulatus|DQ117444|SH321397.06FU|refs|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Incertae_sedis;f__Incertae_sedis;g__Geomyces;s__Geomyces_asperulatus
OTU_1201	67	131	0	1	17	85.44%|Volutella_sp|HM136667|SH451447.06FU|reps_singleton|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Volutella;s__Volutella_sp
OTU_1204	26	32	0	0	15	85.71%|uncultured_fungus|HQ829348|SH035142.06FU|reps_singleton|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__uncultured_fungus
OTU_1206	1	0	0	0	0	83.05%|uncultured_fungus|GU174365|SH445945.06FU|reps_singleton|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__uncultured_fungus
OTU_1207	0	34	0	0	2	85.08%|Entrophospora_sp_JJ38|AY035644|SH431532.06FU|reps_singleton|k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Diversisporales;f__Acaulosporaceae;g__Entrophospora;s__Entrophospora_sp_JJ38
OTU_122	2	49	0	0	5	99.57%|Tomentellopsis_sp|FR682407|SH208364.06FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__Tomentellopsis;s__Tomentellopsis_sp
OTU_1221	0	0	1	0	0	96.18%|Paraglomerales_sp|FR732084|SH219409.06FU|reps|k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Paraglomerales;f__unidentified;g__unidentified;s__Paraglomerales_sp
OTU_1224	0	0	1	0	0	68.5%|uncultured_fungus|KF296936|SH433240.06FU|reps_singleton|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__uncultured_fungus
OTU_1225	0	0	0	0	2	100%|uncultured_Ascomycota|FN562038|SH449221.06FU|reps_singleton|k__Fungi;p__Ascomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__uncultured_Ascomycota
OTU_1226	7	0	0	0	2	99.43%|Mortierella_sp|HQ211515|SH233131.06FU|reps|k__Fungi;p__Zygomycota;c__Incertae_sedis;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_sp
OTU_123	9	79	0	0	10	100%|Helotiales_sp|DQ093782|SH022391.06FU|reps_singleton|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__unidentified;g__unidentified;s__Helotiales_sp
OTU_1233	0	0	0	0	0	90.86%|Ascomycota_sp|JQ070535|SH209218.06FU|reps|k__Fungi;p__Ascomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Ascomycota_sp
OTU_1235	0	2	0	0	0	90.27%|Phoma_sp|AY969499|SH240088.06FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae_sedis;g__Phoma;s__Phoma_sp
OTU_1239	1	0	0	0	0	97.7%|uncultured_endophytic_fungus|KC456698|SH035978.06FU|reps_singleton|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__uncultured_endophytic_fungus
OTU_1242	0	0	5	0	0	90%|uncultured_fungus|KC965895|SH034013.06FU|reps_singleton|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__uncultured_fungus
OTU_1243	0	3	0	0	0	99.34%|Rhodotorula_sp_JJP_2009a|FJ210641|SH027484.06FU|reps_singleton|k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Incertae_sedis;g__Rhodotorula;s__Rhodotorula_sp_JJP_2009a
OTU_1249	20	95	9	0	16	79.29%|uncultured_fungus|FN391373|SH038296.06FU|reps_singleton|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__uncultured_fungus
OTU_125	1418	1019	1	0	512	92.92%|fungal_endophyte|FN394698|SH024663.06FU|reps_singleton|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__fungal_endophyte
OTU_1250	1	2	0	0	0	100%|uncultured_fungus|KC965399|SH451013.06FU|reps_singleton|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__uncultured_fungus
OTU_1252	2	10	1	0	1	98.07%|Stachybotrys_elegans|AF081481|SH227381.06FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Incertae_sedis;g__Stachybotrys;s__Stachybotrys_elegans
OTU_1255	5	1	78	2	14	98.95%|Jaapia_argillacea|GU187524|SH235459.06FU|refs|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Incertae_sedis;g__Jaapia;s__Jaapia_argillacea
OTU_1257	0	0	0	0	2	84.62%|Psathyrella_sp|FM999561|SH199672.06FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Psathyrella;s__Psathyrella_sp
OTU_1260	1	0	0	0	0	98.04%|uncultured_endophytic_fungus|EF505601|SH024886.06FU|reps_singleton|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__uncultured_endophytic_fungus
OTU_1261	1	0	9	10	1	98.01%|Fungi_sp|JX857214|SH228619.06FU|reps|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp
OTU_1262	1	0	1	0	0	97.45%|uncultured_fungus|FN397288|SH033803.06FU|reps_singleton|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__uncultured_fungus
OTU_1263	1	0	1	0	1	96.59%|Helotiaceae_sp|AF149071|SH195754.06FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__unidentified;s__Helotiaceae_sp
OTU_1265	0	0	0	0	2	93.5%|Chaetomiaceae_sp|GQ922575|SH234920.06FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__unidentified;s__Chaetomiaceae_sp
OTU_1275	1	0	0	0	0	79.29%|Archaeorhizomyces_sp|AY970243|SH037692.06FU|reps_singleton|k__Fungi;p__Ascomycota;c__Archaeorhizomycetes;o__Archaeorhizomycetales;f__Archaeorhizomycetaceae;g__Archaeorhizomyces;s__Archaeorhizomyces_sp
OTU_1278	2	0	0	0	9	95.53%|Helotiales_sp|JX857179|SH196876.06FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__unidentified;g__unidentified;s__Helotiales_sp
OTU_1281	0	1	0	1	0	99.15%|Trichoderma_harzianum|HF569189|SH453792.06FU|reps_singleton|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma;s__Trichoderma_harzianum
OTU_1283	212	663	39	1132	829	75.88%|uncultured_Basidiomycota|HM240195|SH449662.06FU|reps_singleton|k__Fungi;p__Basidiomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__uncultured_Basidiomycota
OTU_1286	192	75	1684	0	473	92%|uncultured_fungus|EF159524|SH015884.06FU|reps_singleton|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__uncultured_fungus
OTU_1287	0	0	0	0	1	98.18%|Fungi_sp|AB693801|SH213113.06FU|reps|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp
OTU_1292	7	0	14	20	20	83.82%|Asteromella_sp_E9226a|JN662478|SH024600.06FU|reps_singleton|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Incertae_sedis;f__Incertae_sedis;g__Asteromella;s__Asteromella_sp_E9226a
OTU_1296	0	0	0	0	2	100%|Derxomyces_sp_LTD_2009a|AB508840|SH457761.06FU|reps_singleton|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Incertae_sedis;g__Derxomyces;s__Derxomyces_sp_LTD_2009a
OTU_130	0	0	1	0	0	84.71%|ascomycete_sp_MA_4950|AJ972834|SH442060.06FU|reps_singleton|k__Fungi;p__Ascomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__ascomycete_sp_MA_4950
OTU_1311	0	9	0	0	0	100%|Massarina_sp_JP_2013|JX981477|SH018317.06FU|reps_singleton|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Massarinaceae;g__Massarina;s__Massarina_sp_JP_2013
OTU_1313	9	56	92	6	15	100%|uncultured_fungus|FJ820726|SH030059.06FU|reps_singleton|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__uncultured_fungus
OTU_1316	0	0	0	0	0	74.24%|uncultured_fungus|EU516926|SH012272.06FU|reps_singleton|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__uncultured_fungus
OTU_1317	0	0	0	5	0	76.27%|Blastobotrys_terrestris|AB565767|SH230659.06FU|reps|k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Trichomonascaceae;g__Blastobotrys;s__Blastobotrys_terrestris
OTU_1318	0	0	0	0	0	91.01%|zygomycete_sp_olrim272|AY805543|SH009731.06FU|reps_singleton|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__zygomycete_sp_olrim272
OTU_1319	0	0	1	0	1	100%|uncultured_Ascomycota|FN562038|SH449221.06FU|reps_singleton|k__Fungi;p__Ascomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__uncultured_Ascomycota
OTU_132	0	0	0	1	0	97.39%|uncultured_Glomeromycota|HQ895789|SH014485.06FU|reps_singleton|k__Fungi;p__Glomeromycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__uncultured_Glomeromycota
OTU_1320	0	0	3	0	0	78.98%|uncultured_fungus|FJ197888|SH450593.06FU|reps_singleton|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__uncultured_fungus
OTU_1323	1	0	0	0	0	92.65%|Trichocomaceae_sp|GU092954|SH231341.06FU|reps|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__unidentified;s__Trichocomaceae_sp
OTU_1324	0	0	1	4	4	97.74%|Paraglomus_brasilianum|AF165918|SH236295.06FU|reps|k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Paraglomerales;f__Paraglomeraceae;g__Paraglomus;s__Paraglomus_brasilianum
OTU_1327	0	0	7	0	2	81.16%|uncultured_fungus|EU516722|SH447933.06FU|reps_singleton|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__uncultured_fungus
