Taxon	Taxon Level	Trophic Mode	Guild	Confidence Ranking	Growth Morphology	Trait	Notes	Citation/Source
Adisciso	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Adustomyces	7	Saprotroph		Probable		White rot		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Aecidiconium	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Aecidiolum	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Aecidium	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Aecidium campanulastri	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Aecidium cannabis	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Aecidium cantensis	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Aecidium caspicum	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Aecidium clematidis	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Aecidium foeniculi	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Aeciure	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Aegerita	7	Saprotroph		Probable			 	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Aegeritina	7	Saprotroph		Probable		White rot		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Aegeritopsis	7	Saprotroph		Probable			 	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Aeruginoscyphus	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Aeruginospora	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Afroboletus	7	Symbiotroph	Ectomycorrhizal	Highly Probable				"Rinaldi AC, Comandini O, Kuyper TW. 2008. Fungal Diversity 33: 1-45; Tedersoo L, May TW, Smith ME. 2010. Mycorrhiza 20: 217-263"
Afrocantharellus	7	Symbiotroph	Ectomycorrhizal	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Agaricochaete	7	Saprotroph		Probable		White rot		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Agaricostilbum	7	Saprotroph		Highly Probable	Facultative yeast			"Kurtzman CP, Fell JW, Boekhout T (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego"
Agaricostilbum hyphaenes	8	Saprotroph	Saprotroph	Probable				"James TY, Kauff F, Schoch CL et al. (2006) Reconstructing the early evolution of Fungi using a six-gene phylogeny. Nature, 443, 818дус22."
Agaricus	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Aglaospora	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Agonimia	7	Symbiotroph	Lichenized	Highly Probable				Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Agrestia	7	Symbiotroph	Lichenized	Highly Probable			Syn. Circinaria	Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Agrocybe	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Agrogaster	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Agyrium	7	Symbiotroph	Lichenized	Highly Probable				Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Agyrophora	7	Symbiotroph	Lichenized	Highly Probable			Syn. Umbilicaria	Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Ahlesia	7	Symbiotroph	Lichenized	Highly Probable			Syn. Ahlesia	Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Ahmadiago	7	Pathotroph	Plant pathogen	Probable	Facultative yeast			"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Ahtiana	7	Symbiotroph	Lichenized	Highly Probable				Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Ainoa	7	Symbiotroph	Lichenized	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Aithaloderma	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Aivenia	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Aizoago	7	Pathotroph	Plant pathogen	Probable	Facultative yeast			"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Ajellomyces	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Ajellomyces capsulatus	8	Pathotroph	Animal pathogen	Probable			Facultative Human pathogen	www.cdc.org
Ajellomyces dermatitidis	8	Pathotroph	Animal pathogen	Probable			Facultative Human pathogen	www.cdc.org
Akanthomyces	7	Pathotroph	Animal pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Alatospora	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Albahypha	7	Symbiotroph	Arbuscular mycorrhizal	Highly Probable				"Redecker D, Schussler A, Stockinger H, Sturmer SL, Morton JB, Walker C. 2013. Mycorrhiza 23: 515-531"
Albatrellopsis	7	Symbiotroph	Ectomycorrhizal	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Albatrellus	7	Symbiotroph	Ectomycorrhizal	Highly Probable				"Gilbertson RL; Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo; Rinaldi AC, Comandini O, Kuyper TW. 2008. Fungal Diversity 33: 1-45; Tedersoo L, May TW, Smith ME. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Albertiniella	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Alboleptonia	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Albonectria	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Albonectria rigidiuscula	8	Pathotroph	Plant pathogen|Endophyte	Possible			"host: Fabaceae, Sapotaceae"	De Melo Wanderley Costa IP et al (2012) Checklist of endophytic fungi from tropical regions. Mycotaxon 119
Albosynnema	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Albotricha	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Albugo candida	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Albugo cruciferarum	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Albugo ipomoeae-panduratae	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Albugo ipomoeaepanduratae	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Albugo occidentalis	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Albugo tragopogonis	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Aldona	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Aldonata	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Alectoria	7	Symbiotroph	Lichenized	Highly Probable				Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Aleuria	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Aleuria aurantia	8	Saprotroph	Saprotroph	Probable				"James TY, Kauff F, Schoch CL et al. (2006) Reconstructing the early evolution of Fungi using a six-gene phylogeny. Nature, 443, 818дус22."
Aleurina	7	Symbiotroph	Ectomycorrhizal	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Aleurobotrys	7	Saprotroph		Probable		White rot		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Aleurocystidiellum	7	Saprotroph		Probable		White rot		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Aleurocystis	7	Saprotroph		Probable		White rot		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Aleurodiscus	7	Saprotroph		Probable		White rot		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Aleuromyces	7	Saprotroph		Probable		White rot		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Alina	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Aliquandostipite	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Allantomyces	7	Symbiotroph	Animal gut	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Allantoparmelia	7	Symbiotroph	Lichenized	Highly Probable				"Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm; Tedersoo et al. 28 November 2014, Science 346, 1256688"
Allantophomoides	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Allantophomopsis	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Allantophomopsis cytisporea	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Allantophomopsis lycopodina	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Allantoporthe	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Allantula	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Allarthonia	7	Symbiotroph	Lichenized	Highly Probable			Syn. Chrysothrix	Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Allescheriella	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Allewia	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Allocetraria	7	Symbiotroph	Lichenized	Highly Probable				Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Allochytridium	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Allodus	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Allomyces	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Allomyces arbusculus	8	Saprotroph	Saprotroph	Probable				"James TY, Kauff F, Schoch CL et al. (2006) Reconstructing the early evolution of Fungi using a six-gene phylogeny. Nature, 443, 818дус22."
Allonecte	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Allonectella	7	Pathotroph	Mycoparasite	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Allophylaria	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Allopsalliota	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Allotelium	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Allothyrium	7	Pathotroph	Endophyte	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Almbornia	7	Symbiotroph	Lichenized	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Alnicola	7	Symbiotroph	Ectomycorrhizal	Highly Probable				"Rinaldi AC, Comandini O, Kuyper TW. 2008. Fungal Diversity 33: 1-45; Tedersoo L, May TW, Smith ME. 2010. Mycorrhiza 20: 217-263"
Alocospora	7	Saprotroph		Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Alpova	7	Symbiotroph	Ectomycorrhizal	Highly Probable				"Rinaldi AC, Comandini O, Kuyper TW. 2008. Fungal Diversity 33: 1-45; Tedersoo L, May TW, Smith ME. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Alternaria	7	Pathotroph	Plant pathogen	Probable				"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Alternaria alternata	8	Pathotroph	Plant pathogen|Endophyte	Probable			Opportunistic pathogen; host: broad host range	http://www.apsnet.org/publications/commonnames/Pages/default.aspx; De Melo Wanderley Costa IP et al (2012) Checklist of endophytic fungi from tropical regions. Mycotaxon 119
Alternaria arachidis	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria brassicae	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria brassicicola	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria carthami	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria cinerariae	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria citri	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria cucumerina	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria dauci	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria dianthi	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria dianthicola	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria euphorbiicola	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria gerberae	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria helianthi	8	Pathotroph	Plant pathogen|Endophyte	Probable			host: Asteraceae	http://www.apsnet.org/publications/commonnames/Pages/default.aspx; De Melo Wanderley Costa IP et al (2012) Checklist of endophytic fungi from tropical regions. Mycotaxon 119
Alternaria helianthicola	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria humuli	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria japonica	8	Pathotroph	Plant pathogen	Probable				http://www.apsnet.org/publications/commonnames/Pages/default.aspx
